350,0.01,5,0.096
350,0.1,0.005,0.096
250,0.1,0.05,0.095
300,0.1,5,0.094
300,0.01,50,0.092
350,0.01,0.0005,0.092
400,0.01,0.005,0.092
200,0.1,5,0.091
150,0.01,0.05,0.09
200,0.01,0.05,0.09
250,0.1,5,0.09
300,0.01,0.0005,0.09
400,0.01,0.5,0.089
350,0.01,0.5,0.087
400,0.1,0.5,0.087
150,0.01,0.0005,0.085
150,0.01,0.005,0.083
350,0.1,50,0.083
200,0.01,5,0.082
500,0.1,0.05,0.082
150,0.1,0.005,0.081
450,0.1,0.05,0.081
500,0.01,5,0.081
150,0.01,50,0.08
300,0.1,0.05,0.08
500,0.01,50,0.08
400,0.01,0.05,0.079
500,0.1,0.5,0.079
250,0.1,0.5,0.078
550,0.01,0.0005,0.078
550,0.01,50,0.078
450,0.1,50,0.076
350,0.01,50,0.075
300,0.1,0.005,0.074
150,0.1,0.5,0.073
550,0.01,0.5,0.072
450,0.1,5,0.071
450,0.1,0.5,0.068
500,0.01,0.0005,0.068
450,0.01,5,0.067
350,0.1,0.0005,0.066
400,0.1,5,0.066
250,0.01,0.05,0.065
350,0.1,5,0.065
500,0.1,5,0.065
450,0.1,0.0005,0.063
200,0.1,0.05,0.062
200,0.1,0.005,0.061
250,0.01,0.5,0.061
250,0.1,50,0.061
400,0.01,5,0.061
500,0.1,50,0.061
250,0.01,5,0.06
250,0.01,0.0005,0.059
450,0.01,0.5,0.059
550,0.1,5,0.057
400,0.1,0.0005,0.054
200,0.01,0.005,0.053
500,0.1,0.0005,0.053
550,0.1,0.0005,0.053
250,0.1,0.005,0.052
350,0.1,0.05,0.052
550,0.1,0.05,0.052
350,0.1,0.5,0.05
550,0.1,0.005,0.05
150,0.1,0.05,0.049
400,0.01,0.0005,0.049
300,0.01,0.5,0.045
400,0.1,50,0.045
200,0.01,50,0.044
200,0.1,0.5,0.044
200,0.1,0.0005,0.043
300,0.1,0.0005,0.043
150,0.1,50,0.042
300,0.1,50,0.042
200,0.1,50,0.038
300,0.01,0.05,0.038
250,0.1,0.0005,0.037
550,0.1,0.5,0.035
